id,address,latitude,longitude,address_road,building_name,age,main_use,floor,under_floor,structure_name,structure_category,gf_area,bc_area,bc_ratio,fa_ratio,parking_lot_count,area,connection_area,landuse_zone,landuse_district,jimok,lot_road,lot_height,lot_shape,icp_potential_landlocked,development_state,naver_longitude,naver_latitude,naver_pnu
2823710400103850005,인천 부평구 청천동 385-5,37.52318469,126.70266259,,,0,,,,,건물없음,,,,,,390.0,390.0,준공업지역,,공장,소로한면,평지,세장형,False,인허가,126.7026593,37.5231999,2.82371040010385e+18
2823710400104270019,인천 부평구 청천동 427-19,37.51987344,126.71994598,부평대로313번길 30,,3,공장,5.0,0.0,철골철근콘크리트구조,철골철근콘크리트,4460.8,1436.5,67.8,210.5,15.0,2119.0,2119.0,일반공업지역,,대지,중로한면,평지,가장형,False,,126.7199428,37.5198843,2.82371040010427e+18
2823710400101740015,인천 부평구 청천동 174-15,37.51711869,126.70611579,청중로 80,A동|B동|C동,47,공장,2.0,0.0,철근콘크리트조 세멘블럭,철골철근콘크리트,1366.2,789.3,48.3,83.7,0.0,1632.9,1632.9,준공업지역,,공장,중로각지,평지,삼각형,False,,126.7061414,37.5171109,2.82371040010174e+18
2823710400100060019,인천 부평구 청천동 6-19,37.5189555,126.70763673,평천로 150,,18,제2종근린생활시설,1.0,0.0,경량철골구조,경량철골,186.4,186.4,49.5,49.5,1.0,376.6,376.6,준공업지역,,대지,광대한면,평지,세장형,False,,126.7076322,37.5189766,2.82371040010006e+18
2823710400104150001,인천 부평구 청천동 415-1,37.5203801,126.71553772,새벌로 39|안남로418번길 83,(주)모베이스 A동|(주)모베이스 B동|(주)모베이스 C동|(주)모베이스 가동|(주)모베이스 나동,19,공장,5.0,0.0,철골철근콘크리트구조,철골철근콘크리트,15733.7,3901.8,68.3,265.3,0.0,5713.0,5713.0,일반공업지역,,공장,중로각지,평지,가장형,False,,126.7155354,37.5203788,2.82371040010415e+18
2823710400103920007,인천 부평구 청천동 392-7,37.52014386,126.70734881,평천로141번길 7,,34,제1종근린생활시설,3.0,1.0,철근조,철골철근콘크리트,484.0,121.0,54.7,164.0,0.0,221.3,221.3,준공업지역,,대지,소로한면,평지,사다리,False,,126.7073184,37.5201912,2.82371040010392e+18
2823710400103950000,인천 부평구 청천동 395,37.52233784,126.70781111,부평북로 134,,30,자동차관련시설,1.0,0.0,아이소판넬,경량철골,47.5,47.5,15.3,15.3,0.0,311.3,311.3,준공업지역,,대지,중로각지,평지,세장형,False,,126.7078133,37.5223704,2.82371040010395e+18
2823710400104040005,인천 부평구 청천동 404-5,37.52331917,126.71556484,청천마차로 220,,31,공장,3.0,1.0,철근콘크리트조,철골철근콘크리트,990.1,283.9,53.3,153.1,0.0,532.5,532.5,일반공업지역,,공장,세로(가),평지,세장형,False,,126.7155629,37.5233315,2.82371040010404e+18
2823710400104200000,인천 부평구 청천동 420,37.51951202,126.71636803,새벌로 28,(주)대인텍 1동|2동,14,공장,3.0,1.0,철근조,철골철근콘크리트,5501.9,1602.3,56.6,166.7,0.0,2830.2,2830.2,일반공업지역,,공장,중로각지,평지,사다리,False,,126.7163817,37.5195179,2.8237104001042e+18
2823710400103830011,인천 부평구 청천동 383-11,37.52320122,126.70117601,청천마차로 92,성림ENG,4,공장,4.0,0.0,일반철골구조,철골,1945.1,486.3,69.7,278.7,6.0,697.9,697.9,준공업지역,,공장,세로(가),평지,세장형,False,,126.7011728,37.5231949,2.82371040010383e+18
